"id","country","publication_date","source","source_type","headline"
1,"UK","2013-02-09","Daily Mirror","Print","Asylum girl 'fed up' in UK;
COURT"
2,"Spain","2005-06-04","El Pais","Print","Menores"
3,"Spain","2015-11-11","El Pais","Print","La Comisión considera altamente problemáticas las medidas clave"
4,"UK","2012-03-16","telegraph.co.uk","Online","Archbishop of Canterbury, Dr Rowan Williams: CV;
Profile of the Archbishop of Canterbury, Dr Rowan Williams, who today announced
he is stepping down as leader of the Anglican Church."
5,"UK","2012-08-27","telegraph.co.uk","Online","France's 'scandalous' expulsion of Roma camps resumes;
French police on Monday dismantled a Roma camp near Paris, sweeping more than 70
people out just days after the government promised a less confrontational
approach to the ethnic minority migrants."
6,"Spain","2002-03-13","El Pais","Print","ISRAEL TOMA LA 'CAPITAL' PALESTINA EN SU MAYOR OFENSIVA MILITAR EN VEINTE ANOS
2.500 PRISIONEROS PALESTINOS, INCOMUNICADOS EN UN CENTRO DE INTERNAMIENTO"
7,"Spain","2006-06-06","El Mundo","Print","EL DRAMA DE LA INMIGRACION / La integracion.
Valencia protesta por el envio de 'sin papeles' desde Canarias.
La Generalitat denuncia la permisividad del Gobierno central con los
'irregulares', que puede hacer peligrar la sociedad del bienestar."
8,"UK","2016-12-13","mirror.co.uk","Online","Labour's stance on EU immigration is not sustainable, says party's Brexit
spokesman Keir Starmer;
Keir Starmer says Labour must change its stance on freedom of movement in the
wake of the Brexit vote"
9,"Spain","2015-09-01","El Pais","Print","España, entre los países que menos peticiones reciben"
10,"Spain","2001-07-06","El Pais","Print","TRILLO ASEGURA QUE LAS BAJAS ENTRE LOS SOLDADOS EMIGRANTES SON LAS ESPERADAS"
11,"UK","2016-03-03","The Guardian","Print","'It was petrifying': lorry driver attacked near Calais says he feared for his
life;
Mick Young, from Essex, needed hospital treatment after attack by refugees and
migrants angered by partial demolition of camp"
12,"Germany","2017-06-27","Welt Online","Online","Tödliche Flucht übers Mittelmeer;
Tödliche Flucht übers Mittelmeer - Schleuser vor Gericht"
13,"Spain","2001-07-14","El Pais","Print","INTERCEPTADOS 166 INMIGRANTES EN LAS COSTAS DE ANDALUCIA Y CANARIAS;
 LA POLICIA ARRESTA A 50 MAGREBIES EN EL PUERTO DE CEUTA"
14,"UK","2012-03-19","The Guardian","Print","Football: Muamba's fight for life: The refugee who plays like Vieira"
15,"UK","2017-08-20","The Guardian","Print","Sunday's best TV: The State; Dragons' Den; Astronauts - Do You Have What It
Takes?;
Peter Kosminsky's new drama about Islamic State kicks off, two new Dragons enter
the Den and 12 wannabe astronauts are put through their paces"
16,"UK","2017-11-02","The Daily Telegraph","Print","Stowaways leap from bus into RAF base"
17,"Germany","2014-10-23","Frankfurter Rundschau","Print","Frieren für den Wanderpokal"
18,"Spain","2008-06-17","El Pais","Print","Una brecha que va creciendo"
19,"UK","2016-10-08","The Daily Telegraph","Print","Syrian children in Germany attacked;
WORLD BULLETIN"
20,"Spain","2015-06-16","ABC","Print","Nueva oleada de refugiados sirios en la frontera turca"
21,"Spain","2008-06-19","El Pais","Print","El fiscal pedirá al juez medidas para proteger a los menores inmigrantes"
22,"Spain","2001-07-19","El Pais","Print","EL CAOS"
23,"UK","2001-12-01","The Guardian","Print","In brief: 2,745 lose asylum battle"
24,"UK","2014-11-19","telegraph.co.uk","Online","Julien Blanc banned from Britain;
'Pick-up artist' who attracted widespread criticism for encouraging allegedly
abusive behaviour towards women is barred by the Home Office"
25,"Germany","2013-08-15","taz","Print","Strafanzeigen wegen Wahlplakaten;
RECHTSEXTREME NPD"
26,"Spain","2005-06-03","El Pais","Print","Expertos buscan respuestas a los retos que plantean las migraciones"
27,"Germany","2003-07-09","Frankfurter Rundschau","Print","FRIEDRICHSDORF"
28,"Germany","2014-10-08","Frankfurter Rundschau","Print","Raum für ein normales Leben"
29,"UK","2015-04-30","The Guardian","Print","West Midlands housing group tackles social integration;
A training course providing context and history for migration in the West
Midlands promotes community cohesion and the delivery of services"
30,"Spain","2014-03-27","El Mundo","Print","Conmoción y protesta en el barrio"
31,"UK","2016-09-08","The Daily Telegraph","Print","Camerawoman who tripped up migrants to face charges"
32,"Spain","2016-01-09","ABC","Print","Los obispos piden no marginar a los inmigrantes que no son refugiados"
33,"UK","2017-01-18","The Guardian","Print","French presidential candidate Emmanuel Macron's 'anti-system' angle is a sham;
Youthful and 'doubly liberal', the former economy minister is the surprise
package in the presidential race. But he's not the outsider he's portrayed as"
34,"Germany","2002-04-09","taz","Print","taz-Debatte Berlin nach Pisa (Teil 1);
Aussortiert: Migrantenkinder"
35,"UK","2013-08-02","telegraph.co.uk","Online","As long as the Tories carry on their grim anti-immigrant posturing, their
'Racist Party' image will remain"
36,"UK","2017-02-23","telegraph.co.uk","Online","Analysis: Five key charts as net migration from the EU overtakes that from the
rest of the world"
37,"Germany","2015-09-19","Frankfurter Rundschau","Print","1000 weitere Flüchtlinge"
38,"Spain","2009-08-22","ABC","Print","Detenidos once inmigrantes tras la llegada de otras dos pateras a Alicante El
Gobierno retrasa de septiembre a «finales de año» la puesta en marcha de los
radares"
39,"Spain","2010-05-06","El Pais","Print","Promesas y recomendaciones"
40,"Spain","2015-05-13","El Pais","Print","El éxodo que Asia no quiere ver"
41,"Spain","2007-11-16","ABC","Print","«Hay que potenciar el papel del extranjero en la cooperación» Carlos Gómez Gil _
Director del Observatorio de Inmigración de la UA"
42,"Germany","2016-12-12","Frankfurter Rundschau","Print","Malen, lachen, Spaß haben"
43,"UK","2011-07-01","Daily Mirror","Print","4,581,269 ..NUMBER OF PEOPLE LIVING IN IRELAND;
CENSUS SHOCK AS THE POPULATION BOOMS"
44,"UK","2013-12-26","telegraph.co.uk","Online","UN accused of interfering over immigration;
United Nations should focus on key issues such as Syrian refugees rather than
interfering in British policy, senior MPs warn"
45,"UK","2005-02-01","The Daily Telegraph","Print","The ear-opening sound of a different agenda"
46,"UK","2017-01-30","The Guardian","Print","US travel ban puts 20,000 refugees in 'precarious circumstances', UN says;
UN refers 'the most vulnerable' to governments for resettlement, refugee chief
said, adding that more than 800 people had been set to arrive in US this week"
47,"Spain","2008-05-28","ABC","Print","Continúa la llegada de cayucos con inmigrantes a las costas canarias"
48,"Germany","2007-05-18","Frankfurter Rundschau","Print","Anwälte weisen Wege für Migranten    ;
Juristen und Sozialarbeiter bieten seit 29 Jahren Rechtsberatung für Ausländer /
Scheidung häufiges Thema"
49,"Spain","2003-11-24","El Pais","Print","La policia detiene en una nueva redada a 44 inmigrantes"
50,"UK","2015-09-20","The Guardian","Print","UN warns European unity at risk as borders close to refugees;
Central European neighbours turn ugly as thousands fleeing war are shunted
between Croatia, Slovenia and Hungary"
51,"UK","2014-01-08","telegraph.co.uk","Online","First Romanian to enter UK under new EU rules attacked ex girlfriend;
Victor Spirescu says he has turned his life around since being convicted of
attacking a former girlfriend in Romania"
52,"UK","2011-03-01","The Daily Telegraph","Print","'What would D H Lawrence make of blogging and tweeting?';
Notebook"
53,"Spain","2002-06-01","El Pais","Print","EL CAMPO DE LA DISCORDIA"
54,"UK","2017-12-29","Daily Mirror","Print","Passport colour has UK in pickle;
Madeuthink WHAT WE'RE ALL SAYING"
55,"UK","2015-03-25","The Guardian","Print","Farage calls anti-Ukip protesters who forced him out of pub 'scum';
Protesters in fancy dress invaded pub in Kent where Ukip leader was having lunch
with his family before pursuing him outside"
56,"UK","2017-08-02","mirror.co.uk","Online","Construction work on 'Trump wall' begins after U.S. President proposes border
fence with Mexico;
The U.S. will waive environmental rules so extra barriers can be built to bar
illegal immigrants from crossing the border with Mexico near San Diego, the
Department of Homeland Security said"
57,"Germany","2016-08-12","taz","Print","LeserInnenbriefe;
taz.die tageszeitung | Rudi-Duts"
58,"Spain","2009-01-25","ABC","Print","La otra cara de la moneda pública"
59,"UK","2016-01-31","The Guardian","Print","Senior Tory urges Eurosceptics to show integrity and vote to leave EU;
Liam Fox steps up pressure on figures including Michael Gove as PM holds talks
with European council president"
60,"Spain","2003-10-20","El Pais","Print","Espana y Francia lanzan un plan contra la inmigracion ilegal"
61,"UK","2015-07-17","The Guardian","Print","Tim Farron outlines 'optimistic direction' for Lib Dems;
New Liberal Democrat leader refuses to be drawn on where he resides on the
left-to-right political spectrum and says party must pick and choose its issues"
62,"Germany","2011-06-06","Frankfurter Rundschau","Print","Container auf dem Hessentag;
Pro Asyl prangert an"
63,"Spain","2016-01-13","El Pais","Print","Alemania agiliza la expulsión de refugiados tras los casos de ataques sexuales"
64,"Spain","2010-08-31","El Pais","Print","La política con los gitanos divide al Gobierno francés"
65,"Spain","2016-10-27","El Pais","Print","La cifra de migrantes muertos en el Mediterráneo marca récord"
66,"Spain","2007-11-20","ABC","Print","España se limita a enviar dos aviones a la misión humanitaria en Chad Alega que
ya hace «una aportación muy significativa» a la estabilidad de África"
67,"UK","2006-09-05","The Guardian","Print","Reply: Letters and emails: Britains appeal to migrant workers"
68,"Germany","2008-06-13","taz","Print","Toter bei Brand in Asylheim"
