"id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
1,"UK","2012-10-04","telegraph.co.uk","Online","One-in-20 parents challenge school admissions rulings;
More than one-in-20 parents attempted to force their children's way into popular
primary schools last year amid rising competition for the most sought-after
places.","One-in-20 parents challenge school admissions rulings;
More than one-in-20 parents attempted to force their children's way into popular
primary schools last year amid rising competition for the most sought-after
places.",1,0,1,0
2,"Spain","2000-06-22","El Pais","Print","LOS INVESTIGADORES CREEN QUE AL FINAL DE LA TRAMA ESTAN LOS EMPRESARIOS","THE INVESTIGATORS BELIEVE THAT THE EMPLOYERS ARE AT THE END OF THE TRAMA",0,1,0,1
3,"Spain","2005-09-10","El Pais","Print","El Foro de Dialogo Espana-Italia profundiza en Jaen en los retos de la
construccion de Europa","The Forum of Dialog Espana-Italia delves into Jaen in the challenges of the
construction of Europe",0,0,0,0
4,"Hungary","2017-10-04","Magyar Hirlap","Print","Steinmeier: Nem hagyhatjuk, hogy újra falak emelkedjenek Németországban","Steinmeier: We can not get back walls are raised to Germany",0,0,0,0
5,"Romania","2016-03-08","Ziarul Financiar","Print","Ţările baltice au decis intensificarea controalelor la frontiera estică şi ridicarea de garduri","The Baltic countries have decided to intensify controls on the eastern border and erecting fences",0,0,0,1
6,"Hungary","2015-08-25","Nepszabadsag","Print","Berlinben értik","understand in Berlin",0,0,0,0
7,"Spain","2008-07-09","ABC","Print","Ongi etorri, benvido y benvingut","Ongi etorri, benvido and benvingut",0,0,0,0
8,"Spain","2008-11-30","ABC","Print","La Iglesia marca el camino de ayuda a los inmigrantes en Jaén Actividad
incesante de las bases católicas ante la avalancha_En Úbeda, Cáritas ha
repartido casi medio millar de comidas","The Church marks the path of helping immigrants in Jaén Activity
incessant of the Catholic bases before the avalanche_In Úbeda, Cáritas has
distributed almost half a thousand meals",0,0,1,0
9,"Germany","2013-01-28","taz","Print","NSU plante Morde auch in Stuttgart;
NEONAZIS Uwe Mundlos und Uwe Böhnhardt spähten Migranten in der
baden-württembergischen Landeshauptstadt aus. Das Bundeskriminalamt geht von
konkreten Anschlagsvorbereitungen aus","NSU also planned murders in Stuttgart;
NEONAZIS Uwe Mundlos and Uwe Böhnhardt spied on migrants in the
Baden-Württemberg state capital. The Federal Criminal Police Office goes from
concrete attack preparations",0,0,0,0
10,"Poland","2009-11-19","Rzeczpospolita","Print","Zapomniany polski sprawiedliwy","Forgotten Polish fair",0,0,0,0
11,"Sweden","2009-04-26","Dagens Nyheter","Print","Invandrartjejer söker förebilder i fotboll","Immigration girls are looking for role models in football",0,1,0,0
12,"Germany","2006-08-04","taz","Print","AUSWANDERN","EMIGRATE",0,1,0,0
13,"Poland","2017-09-26","Gazeta Wyborcza","Print","Apel do rządu: Przyjmijcie uchodźców. Tysiące podpisów pod petycją do premier
Szydło","An appeal to the government: Receive refugees. Thousands of signatures under a petition to the prime minister
Awl",0,0,0,0
14,"Romania","2010-11-22","Romania Libera","Print","Cinci migranţi afro-asiatici, găsiţi ascunşi într-un microbuz, în Vama Nădlac","Five migrants African Asians, found hidden in a minibus in Nadlac",0,0,0,1
15,"Spain","2007-05-13","El Pais","Print","Más de 400 'sin papeles' en dos días","More than 400 'without papers' in two days",0,0,0,0
16,"Spain","2015-09-01","El Pais","Print","Merkel presiona a los socios de la UE para que acepten acoger a refugiados","Merkel pressures EU partners to accept refugees",0,0,0,0
17,"Sweden","2007-03-08","Dagens Nyheter","Print","Länsstyrelsen tar över ansvaret för flyktingar","County Administrative Board takes over responsibility for refugees",1,1,1,0
18,"Poland","2009-05-12","Rzeczpospolita","Print","Kto zwabi Polaków do Polski","Who would lure Poles Polish",0,0,1,0
19,"Germany","2009-10-29","Frankfurter Rundschau","Print","Auf dem Rad zu mehr Teilhabe;
Dietzenbach Der Verein Zusammenleben der Kulturen bringt Migrantinnen das Radeln
bei","On the bike to more participation;
Dietzenbach The Verein Zusammenleben der Kulturen (Cultural Coexistence of Cultures) gives migrant women cycling
at",0,1,1,0
20,"Spain","2006-08-09","El Pais","Print","Parquímetros humanos","Human parking meters",0,0,0,1
21,"UK","2016-05-31","The Guardian","Print","David Cameron's EU warning not scaremongering, says ex-ambassador;
French likely to review border treaty if Britain leaves EU, says Sir Peter
Ricketts","David Cameron's EU warning not scaremongering, says ex-ambassador;
French likely to review border treaty if Britain leaves EU, says Sir Peter
Ricketts",0,0,0,1
22,"Poland","2004-12-06","Rzeczpospolita","Print","Warszawa nadal atrakcyjna","Warsaw is still attractive",0,0,0,0
23,"Sweden","2014-11-23","Expressen","Print","Rätt att sänka biståndet, Lövin","Right to lower aid, Lövin",1,0,1,0
24,"Germany","2017-11-10","Welt Online","Online","Zahnärztetag;
Studie zur Mundgesundheit von Flüchtlingen","Dentists';
Study on Oral Health of Refugees",0,0,1,0
25,"UK","2014-09-06","mirror.co.uk","Online","Recap: Riot breaks out at immigration centre after death of detainee;
Emergency services are currently at Morton Hall immigration centre in
Lincolnshire after clashes broke out today","Recap: Riot breaks out at immigration centre after death of detainee;
Emergency services are currently at Morton Hall immigration centre in
Lincolnshire after clashes broke out today",0,0,0,0
26,"Romania","2014-11-05","Ziarul Financiar","Print","Imigranţii est-europeni au contribuit cu 6,3 miliarde de euro la bugetul Marii Britanii","Immigrants Eastern Europe contributed 6.3 billion euros to the budget UK",1,1,1,0
27,"Poland","2008-11-05","Rzeczpospolita","Print","Zobacz, jak żyją miliony uchodźców","See how there are millions of refugees",0,0,0,0
28,"Spain","2011-06-18","El Pais","Print","Fuga de cerebros","Brain drain",0,1,0,0
29,"UK","2003-01-23","Daily Mirror","Print","HIV RISE 'DUE TO ASYLUM SEEKERS'","HIV RISE 'DUE TO ASYLUM SEEKERS'",0,0,0,0
