"id","country","publication_date","source","source_type","headline"
1,"UK","2012-10-04","telegraph.co.uk","Online","One-in-20 parents challenge school admissions rulings;
More than one-in-20 parents attempted to force their children's way into popular
primary schools last year amid rising competition for the most sought-after
places."
2,"Spain","2000-06-22","El Pais","Print","LOS INVESTIGADORES CREEN QUE AL FINAL DE LA TRAMA ESTAN LOS EMPRESARIOS"
3,"Spain","2005-09-10","El Pais","Print","El Foro de Dialogo Espana-Italia profundiza en Jaen en los retos de la
construccion de Europa"
4,"Hungary","2017-10-04","Magyar Hirlap","Print","Steinmeier: Nem hagyhatjuk, hogy újra falak emelkedjenek Németországban"
5,"Romania","2016-03-08","Ziarul Financiar","Print","Ţările baltice au decis intensificarea controalelor la frontiera estică şi ridicarea de garduri"
6,"Hungary","2015-08-25","Nepszabadsag","Print","Berlinben értik"
7,"Spain","2008-07-09","ABC","Print","Ongi etorri, benvido y benvingut"
8,"Spain","2008-11-30","ABC","Print","La Iglesia marca el camino de ayuda a los inmigrantes en Jaén Actividad
incesante de las bases católicas ante la avalancha_En Úbeda, Cáritas ha
repartido casi medio millar de comidas"
9,"Germany","2013-01-28","taz","Print","NSU plante Morde auch in Stuttgart;
NEONAZIS Uwe Mundlos und Uwe Böhnhardt spähten Migranten in der
baden-württembergischen Landeshauptstadt aus. Das Bundeskriminalamt geht von
konkreten Anschlagsvorbereitungen aus"
10,"Poland","2009-11-19","Rzeczpospolita","Print","Zapomniany polski sprawiedliwy"
11,"Sweden","2009-04-26","Dagens Nyheter","Print","Invandrartjejer söker förebilder i fotboll"
12,"Germany","2006-08-04","taz","Print","AUSWANDERN"
13,"Poland","2017-09-26","Gazeta Wyborcza","Print","Apel do rządu: Przyjmijcie uchodźców. Tysiące podpisów pod petycją do premier
Szydło"
14,"Romania","2010-11-22","Romania Libera","Print","Cinci migranţi afro-asiatici, găsiţi ascunşi într-un microbuz, în Vama Nădlac"
15,"Spain","2007-05-13","El Pais","Print","Más de 400 'sin papeles' en dos días"
16,"Spain","2015-09-01","El Pais","Print","Merkel presiona a los socios de la UE para que acepten acoger a refugiados"
17,"Sweden","2007-03-08","Dagens Nyheter","Print","Länsstyrelsen tar över ansvaret för flyktingar"
18,"Poland","2009-05-12","Rzeczpospolita","Print","Kto zwabi Polaków do Polski"
19,"Germany","2009-10-29","Frankfurter Rundschau","Print","Auf dem Rad zu mehr Teilhabe;
Dietzenbach Der Verein Zusammenleben der Kulturen bringt Migrantinnen das Radeln
bei"
20,"Spain","2006-08-09","El Pais","Print","Parquímetros humanos"
21,"UK","2016-05-31","The Guardian","Print","David Cameron's EU warning not scaremongering, says ex-ambassador;
French likely to review border treaty if Britain leaves EU, says Sir Peter
Ricketts"
22,"Poland","2004-12-06","Rzeczpospolita","Print","Warszawa nadal atrakcyjna"
23,"Sweden","2014-11-23","Expressen","Print","Rätt att sänka biståndet, Lövin"
24,"Germany","2017-11-10","Welt Online","Online","Zahnärztetag;
Studie zur Mundgesundheit von Flüchtlingen"
25,"UK","2014-09-06","mirror.co.uk","Online","Recap: Riot breaks out at immigration centre after death of detainee;
Emergency services are currently at Morton Hall immigration centre in
Lincolnshire after clashes broke out today"
26,"Romania","2014-11-05","Ziarul Financiar","Print","Imigranţii est-europeni au contribuit cu 6,3 miliarde de euro la bugetul Marii Britanii"
27,"Poland","2008-11-05","Rzeczpospolita","Print","Zobacz, jak żyją miliony uchodźców"
28,"Spain","2011-06-18","El Pais","Print","Fuga de cerebros"
29,"UK","2003-01-23","Daily Mirror","Print","HIV RISE 'DUE TO ASYLUM SEEKERS'"
30,"Romania","2012-05-25","Romania Libera","Print","IGPR: Gregorian Bivolaru nu se mai află în Suedia"
31,"Germany","2015-05-22","taz","Print","Immerhin reden sie;
MIGRATION Der erste Runde Tisch zu Flüchtlingsfragen lässt viele Fragen offen"
32,"Spain","2007-11-30","ABC","Print","Los rumanos retornarían si conservaran al menos el 60% de su salario español
Inmigración estimulará el regreso voluntario a Rumanía de los trabajadores
«ilegales»"
33,"Sweden","2008-04-15","Expressen","Print","TYCKAR-TOPPEN"
34,"Sweden","2013-11-15","Aftonbladet","Print","Ödsla inte tid på Skavlan i kväll"
35,"Hungary","2016-10-18","Nepszava","Print","Nagy ívben"
36,"Romania","2010-11-11","Romania Libera","Print","Schengen - Lellouche invocă lupta anticorupţie şi imigraţia"
37,"UK","2016-09-08","The Daily Telegraph","Print","Camerawoman who tripped up migrants to face charges"
38,"Sweden","2004-02-01","Expressen","Print","HV:s sportchef slår tillbaka i bråket om utlänningarna: Svenska spelare"
39,"Spain","2007-06-13","El Pais","Print","Alemania sólo quiere a los mejores"
40,"Germany","2001-10-11","Die Welt","Print","Das Einwanderungsgesetz kommt"
41,"Romania","2015-10-03","Ziarul Financiar","Print","Sute de imigranţi au blocat câteva ore Eurotunelul, perturbând traficul feroviar"
42,"Spain","2006-10-30","El Pais","Print","Una fiesta para y con los que han muerto al cruzar vallas y océanos"
43,"Spain","2016-12-21","El Pais","Print","Listado de ataques a lo largo del año"
44,"Poland","2008-07-15","Gazeta Wyborcza","Print","Kuratorium policzy opuszczone dzieci"
45,"Spain","2004-02-07","El Pais","Print","Los colombianos piden ayuda a su Embajada para su regularizacion"
46,"Germany","2015-08-17","Frankfurter Rundschau","Print","Von Empathie keine Spur"
47,"Spain","2005-09-29","El Pais","Print","La valla"
48,"UK","2015-01-27","telegraph.co.uk","Online","General Election 2015: What about the voters who don't care about the economy or
the NHS?;
The Conservatives and Labour are relentlessly focussing on their chosen issues,
but do they risk missing voters who care more about other things like
immigration?"
49,"Germany","2017-10-06","Welt Online","Online","Tillich;
Keine Stoppschilder bei konservativen Positionen"
50,"Spain","2017-03-13","El Mundo","Print","UNA MINORÍA ACORRALADA"
51,"UK","2015-09-28","The Guardian","Print","Undecided voters like how Corbyn talks - but don't like what he says;
The new Labour leader is no great advocate of focus groups, but he might be
interested in how he's perceived on the economy and immigration"
52,"Romania","2008-01-15","Ziarul Financiar","Print","Franta va expulza 25.000 de imigranti ilegali in 2008"
53,"UK","2015-04-14","The Guardian","Print","Marco Rubio wants to be identifiable without having a distinct identity;
The newest candidate for the Republican nomination is totally different from all
the old white guys in politics, except in the ways he's exactly the same"
54,"Romania","2016-07-21","Ziarul Financiar","Print","Militarii turci care cer azil au fost condamnaţi la închisoare în Grecia"
55,"UK","2001-10-25","The Guardian","Print","Boat people blame police for tragedy"
56,"Romania","2014-06-26","Jurnalul National","Print","Băsescu: Raporul MCV arată buna funcţionare a justiţiei"
57,"Germany","2017-08-01","Frankfurter Rundschau","Print","Protest gegen Essen"
58,"Hungary","2017-09-13","Magyar Idök","Print","Radikális nem az unióra"
59,"Hungary","2016-09-26","Magyar Hirlap","Print","Lázár János: Brüsszel csak a néptől fél"
60,"Hungary","2017-01-18","Magyar Hirlap","Print","Súlyosbítanák az ítéletet"
61,"Sweden","2014-07-10","Aftonbladet","Print","Glömskan gör livet farligt för romerna"
62,"Spain","2002-09-16","El Pais","Print","MUEREN 14 INMIGRANTES EN EL NAUFRAGIO DE UNA BARCAZA EN SICILIA"
63,"Sweden","2001-02-11","Svenska Dagbladet","Print","Tre Kronor föll mot Tjeckien Rätta raderna Fördel Sverige i Davis Cup Panik bland 
flyktingar Atomubåt körde på fiskebåt Riskfylld publiksuccé Resultatlös jakt på 
varg Trafiken ökar på Bromma Starkt formbesked av Elofsson"
64,"Spain","2015-10-07","El Pais","Print","Asilo, solo a los vulnerables"
65,"Poland","2015-12-24","Rzeczpospolita","Print","Imigranci i rozdarci Szwedzi"
66,"Romania","2016-05-10","Ziarul Financiar","Print","Parlamentul ungar a adoptat amendamente pentru reducerea beneficiilor sociale pentru imigranţi"
67,"Poland","2010-12-31","Gazeta Wyborcza","Print","Antysemityzm stadionowy do kontroli"
68,"Poland","2017-04-19","Rzeczpospolita","Print","Nie grozi nam dramat na rynku pracy"
